"Part;""Value"";""Device"";""Package"";""Description"";"""";",,
"5VBUCK;""LM2596BUCK"";""LM2596BUCK"";""LM2596BUCK"";"""";"""";",,
"6VBUCK;""LM2596BUCK"";""LM2596BUCK"";""LM2596BUCK"";"""";"""";",,
"BATT12V;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"C1;""1000uF"";""CPOL-USE5-10.5"";""E5-10","5"";""POLARIZED CAPACITOR"," American symbol"";"""";"
"C2;""1000uF"";""CPOL-USE5-10.5"";""E5-10","5"";""POLARIZED CAPACITOR"," American symbol"";"""";"
"CN10;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"CN11;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"GUNMOSFET;""TO254P1052X465X1989-3"";""TO254P1052X465X1989-3"";""TO254P1052X465X1989-3"";"""";"""";",,
"INDEX;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"KILLSWITCH;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"MIDDLE;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"NANO;""NANOV3"";""NANOV3"";""NANOV3"";"""";"""";",,
"PINKY;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"R6;""470Ω"";""R-US_0207/9"";""0207/9"";""RESISTOR"," American symbol"";"""";",
"R7;""470Ω"";""R-US_0207/9"";""0207/9"";""RESISTOR"," American symbol"";"""";",
"RINDEX;""47kΩ"";""R-US_0207/9"";""0207/9"";""RESISTOR"," American symbol"";"""";",
"RING;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"RMID;""47kΩ"";""R-US_0207/9"";""0207/9"";""RESISTOR"," American symbol"";"""";",
"RPINKY;""47kΩ"";""R-US_0207/9"";""0207/9"";""RESISTOR"," American symbol"";"""";",
"RRING;""47kΩ"";""R-US_0207/9"";""0207/9"";""RESISTOR"," American symbol"";"""";",
"RWRIST;""47kΩ"";""R-US_0207/9"";""0207/9"";""RESISTOR"," American symbol"";"""";",
"U$4;""TO254P1052X465X1989-3"";""TO254P1052X465X1989-3"";""TO254P1052X465X1989-3"";"""";"""";",,
"U$5;""TO254P1052X465X1989-3"";""TO254P1052X465X1989-3"";""TO254P1052X465X1989-3"";"""";"""";",,
"U$7;""3WIRECONNECTOR"";""3WIRECONNECTOR"";""3WIRECONNECTOR"";"""";"""";",,
"U$8;""3WIRECONNECTOR"";""3WIRECONNECTOR"";""3WIRECONNECTOR"";"""";"""";",,
"VOLTMETER;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"WATERGUN;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
"WRIST;"""";""JST_2PIN-THM-RA"";""JST-PH-2-THM-RA"";""JST 2-Pin Connectors of various flavors"";"""";",,
